country,continent,ranking,year,total,antidiscriminationLegislation,marriageCivilPartnership,adoptionAllowed,lgbtMarketing,equalAgeOfConsent,religiousInfluence,hivTravelRestrictions,antiGayLaws,homosexualityIllegal,prideBanned,localsHostile,prosecution,murders,deathSentence,transGenderRights,intersex3RdOption,conversionTherapy,longName
Estonia,Europe,21,2012,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Estonia
French Polynesia,Oceania,21,2012,3,2,1,0,0,1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,French Polynesia
Ireland,Europe,21,2012,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Ireland
Slovenia,Europe,21,2012,3,1,1,1,0,1,0,0,0,0,0,-1,0,0,0,NA,NA,NA,Slovenia
South Africa,Africa,21,2012,3,2,2,2,0,0,0,0,0,0,0,-1,0,-2,0,NA,NA,NA,South Africa
Greenland,Americas,21,2012,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Greenland
Andorra,Europe,29,2012,2,2,1,0,0,1,0,-2,0,0,0,0,0,0,0,NA,NA,NA,Andorra
Brazil,Americas,29,2012,2,1,1,1,1,1,-1,0,0,0,0,0,0,-2,0,NA,NA,NA,Brazil
Guadeloupe,Americas,29,2012,2,2,1,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Guadeloupe
Martinique,Americas,29,2012,2,2,1,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Martinique
Gibraltar,Europe,29,2012,2,1,0,0,0,1,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,Gibraltar
Israel,Asia,29,2012,2,1,1,0,1,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Israel
Liechtenstein,Europe,29,2012,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Liechtenstein
New Caledonia,Oceania,29,2012,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,New Caledonia
Reunion,Africa,29,2012,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,Reunion
Bulgaria,Europe,38,2012,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,Bulgaria
Cambodia,Asia,38,2012,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Cambodia
Aruba,Americas,38,2012,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,NA,NA,NA,Aruba
Curaçao,Americas,38,2012,1,0,0,0,1,1,0,NA,0,0,0,-1,0,0,0,NA,NA,NA,Curaçao
Croatia,Europe,38,2012,1,2,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Croatia
Mexico,Americas,38,2012,1,1,0,1,1,1,-1,0,0,0,0,-1,0,-2,0,NA,NA,NA,Mexico
Thailand,Asia,38,2012,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,Thailand
United States of America,Americas,38,2012,1,1,1,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,United States of America
Italy,Europe,38,2012,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,NA,NA,NA,Italy
Bosnia and Herzegovina,Europe,47,2012,0,1,0,0,0,1,0,0,0,0,-1,-1,0,0,0,NA,NA,NA,Bosnia and Herzegovina
Virgin Islands (USA),Americas,47,2012,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Virgin Islands (USA)
China incl. Hong Kong,Asia,47,2012,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,NA,NA,NA,People's Republic of China
Costa Rica,Americas,47,2012,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Costa Rica
Greece,Europe,47,2012,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Greece
Guam,Oceania,47,2012,0,NA,NA,NA,0,1,-1,NA,0,0,0,0,0,0,0,NA,NA,NA,Guam
Hungary,Europe,47,2012,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Hungary
Malta,Europe,47,2012,0,1,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Malta
Philippines,Asia,47,2012,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,NA,NA,NA,Philippines
Slovakia,Europe,47,2012,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,NA,NA,NA,Slovakia
Vietnam,Asia,47,2012,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,NA,NA,NA,Vietnam
Armenia,Asia,59,2012,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,NA,NA,NA,Armenia
Bermuda,Americas,59,2012,-1,0,0,0,0,0,0,NA,0,0,0,-1,0,0,0,NA,NA,NA,Bermuda
Bolivia,Americas,59,2012,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Bolivia
British Virgin Islands,Americas,59,2012,-1,1,0,0,0,1,-1,0,-1,0,0,-1,0,0,0,NA,NA,NA,British Virgin Islands
Chile,Americas,59,2012,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,NA,NA,NA,Chile
Cyprus,Asia,59,2012,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Cyprus
Japan,Asia,59,2012,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,NA,NA,Japan
Kazakhstan,Asia,59,2012,-1,0,0,0,0,1,0,-1,0,0,0,-1,0,0,0,NA,NA,NA,Kazakhstan
Azerbaijan,Asia,59,2012,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,NA,NA,NA,Azerbaijan
Laos,Asia,59,2012,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,NA,NA,Laos
Moldova,Europe,59,2012,-1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,NA,NA,NA,Moldova
Montenegro,Europe,59,2012,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Montenegro
Nicaragua,Americas,59,2012,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,NA,NA,Nicaragua
Kosovo,Europe,59,2012,-1,2,0,0,0,1,-2,0,0,0,0,-2,0,0,0,NA,NA,NA,Kosovo
Latvia,Europe,59,2012,-1,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,NA,NA,NA,Latvia
Dominican Republic,Americas,74,2012,-2,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,Dominican Republic
Colombia,Americas,74,2012,-2,1,1,0,0,1,-1,-1,0,0,0,-1,0,-2,0,NA,NA,NA,Colombia
Ecuador,Americas,74,2012,-2,0,1,0,0,1,-1,-2,0,0,0,-1,0,0,0,NA,NA,NA,Ecuador
El Salvador,Americas,74,2012,-2,1,0,0,0,1,-1,0,0,0,0,-1,0,-2,0,NA,NA,NA,El Salvador
Fiji,Oceania,74,2012,-2,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,NA,NA,NA,Fiji
Georgia,Asia,74,2012,-2,1,0,0,0,1,-1,0,0,0,0,-1,0,-2,0,NA,NA,NA,Georgia
Kyrgyzstan,Asia,74,2012,-2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,NA,NA,NA,Kyrgyzstan
North Macedonia,Europe,74,2012,-2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,North Macedonia
Mongolia,Asia,74,2012,-2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,NA,NA,NA,Mongolia
Paraguay,Americas,74,2012,-2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Paraguay
Taiwan,Asia,74,2012,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,NA,NA,NA,Taiwan
Ukraine,Europe,74,2012,-2,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,0,NA,NA,NA,Ukraine
Venezuela,Americas,74,2012,-2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,NA,NA,NA,Venezuela
Vanuatu,Oceania,74,2012,-2,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,0,NA,NA,NA,Vanuatu
Albania,Europe,88,2012,-3,0,0,0,0,0,-1,0,0,0,0,-2,0,0,0,NA,NA,NA,Albania
Cape Verde,Africa,88,2012,-3,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,NA,NA,NA,Cape Verde
Cuba,Americas,88,2012,-3,0,0,0,0,1,0,-1,0,0,0,-1,0,-2,0,NA,NA,NA,Cuba
Grenada,Americas,88,2012,-3,0,0,0,0,0,0,NA,-1,-1,0,0,-1,0,0,NA,NA,NA,Grenada
Puerto Rico,Americas,88,2012,-3,1,0,0,0,0,-1,0,0,0,0,-1,0,-2,0,NA,NA,NA,Puerto Rico
Guatemala,Americas,88,2012,-3,0,0,0,0,1,-1,0,0,0,0,-1,0,-2,0,NA,NA,NA,Guatemala
India,Asia,88,2012,-3,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,NA,NA,NA,India
South Korea,Asia,88,2012,-3,0,0,0,0,1,-1,-2,0,0,0,-1,0,0,0,NA,NA,NA,South Korea
Lebanon,Asia,88,2012,-3,0,0,0,0,1,-1,0,-1,-1,0,-1,0,0,0,NA,NA,NA,Lebanon
Lithuania,Europe,88,2012,-3,0,0,0,0,1,-1,0,-1,0,-1,-1,0,0,0,NA,NA,NA,Lithuania
Nepal,Asia,88,2012,-3,0,0,0,0,1,-1,0,-1,0,0,-1,-1,0,0,NA,NA,NA,Nepal
Poland,Europe,88,2012,-3,1,0,0,0,0,-2,0,0,0,-1,-1,0,0,0,NA,NA,NA,Poland
Romania,Europe,88,2012,-3,0,0,0,0,1,-1,0,0,0,-2,-1,0,0,0,NA,NA,NA,Romania
Senegal,Africa,88,2012,-3,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,NA,NA,NA,Senegal
Serbia,Europe,88,2012,-3,0,0,0,0,1,-1,0,0,0,-1,-2,0,0,0,NA,NA,NA,Serbia
Sri Lanka,Asia,88,2012,-3,0,0,0,0,1,0,-1,-1,-1,0,-1,0,0,0,NA,NA,NA,Sri Lanka
Belarus,Europe,104,2012,-4,0,0,0,0,1,-1,0,0,0,0,-2,-2,0,0,NA,NA,NA,Belarus
Belize,Americas,104,2012,-4,0,0,0,0,0,0,NA,-1,-1,0,-1,-1,0,0,NA,NA,NA,Belize
Barbados,Americas,104,2012,-4,0,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,NA,NA,NA,Barbados
Honduras,Americas,104,2012,-4,0,0,0,0,1,-1,0,-1,0,0,-1,0,-2,0,NA,NA,NA,Honduras
Indonesia,Asia,104,2012,-4,0,0,0,0,1,-1,0,-1,0,0,-1,-2,0,0,NA,NA,NA,Indonesia
Kenya,Africa,104,2012,-4,0,0,0,0,1,0,0,-1,-1,0,-1,-2,0,0,NA,NA,NA,Kenya
Mauritius,Africa,104,2012,-4,0,0,0,0,1,0,0,-1,-1,0,-1,-2,0,0,NA,NA,NA,Mauritius
Myanmar,Asia,104,2012,-4,0,0,0,0,1,0,0,-1,-1,0,-1,-2,0,0,NA,NA,NA,Myanmar
Panama,Americas,104,2012,-4,0,0,0,0,1,-1,-1,-1,-1,0,0,-1,0,0,NA,NA,NA,Panama
Peru,Americas,104,2012,-4,0,0,0,0,1,-2,0,-1,0,0,-2,0,0,0,NA,NA,NA,Peru
Singapore,Asia,104,2012,-4,0,0,0,0,1,0,-3,-1,-1,0,0,0,0,0,NA,NA,NA,Singapore
Tunisia,Africa,104,2012,-4,0,0,0,0,1,-1,0,-1,-1,0,-1,-1,0,0,NA,NA,NA,Tunisia
Turkey,Asia,104,2012,-4,0,0,0,0,1,-1,0,-1,0,-1,-1,-1,0,0,NA,NA,NA,Turkey
Zambia,Africa,104,2012,-4,0,0,0,0,1,0,0,-1,-1,0,-1,-2,0,0,NA,NA,NA,Zambia
Morocco,Africa,119,2012,-5,0,0,0,0,1,-1,0,-1,-1,0,-1,-2,0,0,NA,NA,NA,Morocco
Namibia,Africa,119,2012,-5,0,0,0,0,1,0,-2,-1,-1,0,0,-2,0,0,NA,NA,NA,Namibia
Oman,Asia,119,2012,-5,0,0,0,0,1,-1,-1,-1,-1,0,-1,-1,0,0,NA,NA,NA,Oman
Pakistan,Asia,119,2012,-5,0,0,0,0,1,-2,0,-1,-1,0,-1,-1,0,0,NA,NA,NA,Pakistan
Syria,Asia,119,2012,-5,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,NA,NA,NA,Syria
Madagascar,Africa,119,2012,-5,0,0,0,0,0,-1,0,0,0,0,-2,0,-2,0,NA,NA,NA,Madagascar
The Bahamas,Americas,125,2012,-6,0,0,0,0,1,-1,-2,-1,0,0,-1,0,-2,0,NA,NA,NA,The Bahamas
Zimbabwe,Africa,125,2012,-6,0,0,0,0,1,0,0,-1,-1,0,-1,-2,-2,0,NA,NA,NA,Zimbabwe
Vatican City,Europe,127,2012,-7,0,0,0,0,1,-2,0,-1,-1,0,-2,-2,0,0,NA,NA,NA,Vatican City
Bahrain,Asia,127,2012,-7,0,0,0,0,0,-2,-2,0,0,0,-2,-1,0,0,NA,NA,NA,Bahrain
Maldives,Asia,127,2012,-7,0,0,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,NA,NA,NA,Maldives
Malaysia,Asia,130,2012,-8,0,0,0,0,1,-2,-1,-2,-1,0,-1,-2,0,0,NA,NA,NA,Malaysia
Egypt,Africa,131,2012,-9,0,0,0,0,1,-2,-2,-1,-1,0,-1,-2,0,-1,NA,NA,NA,Egypt
Nigeria,Africa,132,2012,-10,0,0,0,0,1,0,0,-2,-1,0,-1,-2,0,-5,NA,NA,NA,Nigeria
Tanzania,Africa,132,2012,-10,0,0,0,0,0,-1,-1,-1,-1,0,-2,-2,-2,0,NA,NA,NA,Tanzania
Jamaica,Americas,134,2012,-11,0,0,0,0,0,-1,0,-2,-2,0,-2,-2,-2,0,NA,NA,NA,Jamaica
Jordan,Asia,134,2012,-11,0,0,0,0,1,-2,-3,-1,0,0,-2,-2,-2,0,NA,NA,NA,Jordan
Russia,Europe,134,2012,-11,0,0,0,0,1,-1,-3,-1,0,-2,-2,-1,-2,0,NA,NA,NA,Russia
United Arab Emirates,Asia,137,2012,-12,0,0,0,0,1,-1,-2,-1,-1,0,-1,-2,0,-5,NA,NA,NA,United Arab Emirates
Iran,Asia,138,2012,-13,0,0,0,0,1,-2,0,-1,-1,0,-1,-2,-2,-5,NA,NA,NA,Iran
